Département,Votants,Blancs,Exprimés,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent
Deux-Sèvres,213811,3839,207804,4538,68446,7014,47903,8803,39120,4340,10074,9257,2134,4531,2.1224352348569533,32.01238476972653,3.2804673286220076,22.404366473193615,4.11718760961784,18.296532919260468,2.0298300835784877,4.711637848380111,4.329524673660382,0.9980777415567955,2.1191613153673106
Dordogne,253312,3636,246556,8855,58532,15850,63327,15800,50054,5362,8563,11280,2223,5416,3.4956891106619503,23.106682668014148,6.257105861546236,24.9996052299141,6.237367357251137,19.759821879737242,2.116757200606367,3.3804162455785747,4.453006568974229,0.8775739009600809,2.1380747852450734
Doubs,284262,4989,277097,5001,76338,8688,66703,19486,55587,4902,13096,15107,2345,7775,1.75929248369462,26.854802963463282,3.0563353525972516,23.46532424312782,6.854943678718928,19.554847288768812,1.7244654579226206,4.607017469798988,5.314463417551414,0.8249431862155334,2.735152781588816
Drôme,297899,4577,291424,6752,72228,9945,70574,22010,65258,5311,14234,13204,2109,7758,2.266540001812695,24.2458014293435,3.3383797864376854,23.690579693117467,7.3884101658615835,21.906082262780338,1.7828190091272547,4.77812950026687,4.432374731033001,0.7079580663244925,2.604238349239172
Essonne,607300,8954,594941,13480,164503,11610,105862,39284,167310,7944,29562,33046,4306,15203,2.2196607936769306,27.087600856248972,1.9117404906965256,17.431582413963444,6.468631648279269,27.54981063724683,1.308084966244031,4.867775399308414,5.4414622097809975,0.7090400131730611,2.5033755969043305
Eure,325735,5085,318861,7056,83058,7768,102952,20930,55571,4027,11477,13552,2710,7563,2.1661780281517182,25.498641533762108,2.384760618294012,31.60606014091209,6.425468555727816,17.060186961794095,1.2362810259873824,3.5234162739650325,4.1604371651802845,0.8319646338281118,2.321826024222144
Eure-et-Loir,224928,3489,220021,4267,59869,5694,61960,14803,40529,3076,7904,13003,1766,5731,1.8970515009247406,26.61696187224356,2.5314767392232183,27.54659268743776,6.581217100583298,18.018654858443593,1.3675487267036563,3.514013373168303,5.780961018637075,0.785140133731683,2.547926447574335
Finistère,554831,8692,542919,15340,174894,18320,100890,25607,116591,13077,33200,26541,6266,8566,2.764805859802354,31.52203103287307,3.301906346256788,18.183915462546253,4.615279247194191,21.013786179935874,2.356933913209608,5.983804077277585,4.783618795633265,1.1293529020548598,1.5438935459626446
Français établis hors de France,504291,3193,498951,3266,224957,5964,26380,43252,109394,12489,40774,20956,3145,7074,0.6476419368975452,44.6085692586225,1.1826504934650828,5.231106642791563,8.576793954284332,21.692633816586056,2.4765462798265285,8.085411002774192,4.15553717992191,0.6236478541159767,1.4027615008001333
Gard,422315,5840,413979,12123,88278,15162,121480,38479,88827,6585,14974,15460,2706,8137,2.870606064193789,20.90335413139481,3.590211098350757,28.765258160377915,9.111445248215194,21.03335188188911,1.5592626357103112,3.5456945644838567,3.6607745403312695,0.6407539395948522,1.9267608301859986
Gers,119011,1762,116399,3128,28970,11720,26015,8396,21353,3861,4090,5126,793,2418,2.6283284738385526,24.342287687692735,9.847829192259539,21.859323928040265,7.054810059574325,17.94203897118754,3.2442379275865254,3.436657115728798,4.307164883918293,0.6663249615581752,2.0317449647511574
