Département,Votants,Blancs,Exprimés,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent
Paris,1071357,11028,1055062,17267,372820,12139,58429,86088,317372,22901,80268,69564,5732,9591,1.611694327847767,34.79885789704086,1.1330490210079367,5.453737643007886,8.035416765839958,29.623365507482568,2.137569456306348,7.492180477655907,6.493073737325654,0.5350224061633985,0.8952198006826857
Pas-de-Calais,807404,10601,790653,26146,194610,17010,305816,40764,124741,11619,19295,25307,5488,13970,3.2382797211804744,24.103175114316997,2.106752010146098,37.876453423564904,5.048773600328955,15.449638594805078,1.4390565317982076,2.3897577916383868,3.1343664386106584,0.6797092905162719,1.730236659714344
Polynésie française,63455,1490,60030,368,24106,610,11705,4283,7990,865,2150,4725,451,1969,0.5799385391222126,37.98912615239146,0.961311165392798,18.446142935938855,6.749665117012056,12.591600346702386,1.3631707509258528,3.3882278780237964,7.446221731936017,0.7107398944133637,3.1029863682924907
Puy-de-Dôme,367234,6938,357587,12713,100134,16136,78182,20624,74534,8216,17029,17352,3189,6922,3.461825430107234,27.267083113219364,4.393928666735651,21.289423092633037,5.616037730711208,20.296051019241137,2.237265612661137,4.637097872201376,4.7250526911996165,0.868383646394397,1.8849017247858313
Pyrénées-Atlantiques,409795,5816,401490,10170,111610,48246,69768,25877,76030,9276,19967,17166,4982,6721,2.481728669212655,27.235569004014202,11.773203675008235,17.025097914811063,6.314620724996645,18.55317902853866,2.2635708097951417,4.872436218109055,4.188923730157762,1.215729816127576,1.6400883368513526
Pyrénées-Orientales,274372,3528,268568,6509,55169,11690,87930,24782,51556,5013,8588,8815,1995,5209,2.3723266222500836,20.107372472409722,4.2606388406980304,32.0477308180135,9.032262767337775,18.790547140378756,1.8270814806175557,3.1300570029011707,3.2127913927077105,0.7271150117358914,1.8985173414196785
Rhône,925646,12708,909013,15938,278243,17572,150463,74168,229036,15895,51907,50263,5267,16487,1.7218245419955363,30.0593315371103,1.8983499091445324,16.254918186866256,8.012566359061672,24.743368415139262,1.7171791375968783,5.6076513051425705,5.430045611389235,0.5690080225053639,1.7811344725737484
Saint-Martin/Saint-Barthélemy,8602,150,8368,48,2070,208,1445,1107,2354,92,247,354,63,339,0.5580097651708905,24.06417112299465,2.4180423157405255,16.798418972332016,12.869100209253661,27.365728900255753,1.06951871657754,2.8714252499418738,4.115322018135317,0.7323878167867938,3.940943966519414
Saint-Pierre-et-Miquelon,2773,47,2701,19,534,108,459,80,1105,75,116,51,50,82,0.6851785070320953,19.257122250270463,3.894698882077173,16.552470248827984,2.88496213487198,39.84853948791922,2.704652001442481,4.183195095564371,1.839163360980887,1.8031013342949875,2.957086188243779
Sarthe,305854,6694,297062,6908,83876,7546,82234,16218,54244,5409,13541,15937,2505,6494,2.258593969671804,27.423541951388568,2.4671902280172895,26.886684496524488,5.30252996527755,17.735259306728047,1.76849084857481,4.427275759022279,5.210656064658301,0.8190182243815677,2.1232352691153293
