Département,Votants,Blancs,Exprimés,ARTHAUD,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,Abstention_rate,ARTHAUD_percent,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent,employment,security,Winner_2017
SARTHE,305854,6694,297062,2150,6908,83876,7546,82234,16218,54244,5409,13541,15937,2505,6494,25.63869412,0.522722631,1.67951997,20.39250391,1.834634872,19.9932897,3.943030527,13.18817042,1.315072889,3.292180069,3.874711895,0.609032647,1.578865473,11767,54846,MACRON
SAVOIE,251780,3931,246358,1205,5536,64689,8081,56733,18045,49858,4418,15642,13608,1849,6694,21.49269275,0.375730023,1.726175443,20.17062197,2.519729724,17.68986839,5.626596073,15.54618049,1.377572815,4.877318691,4.243098884,0.576535114,2.087250436,16882,129654,MACRON
"SAÃ""NE-ET-LOIRE",307623,5923,299300,1979,7419,82633,10186,81970,20686,52336,6037,10730,15210,2369,7745,23.66523405,0.491076746,1.840979474,20.50487355,2.5275936,20.34035415,5.133104379,12.9868583,1.498044626,2.662583873,3.774268472,0.587852861,1.92187438,10742,54266,MACRON
SEINE-MARITIME,657105,10982,642965,4433,19896,179698,13588,177806,33361,136136,11139,24785,24281,5477,12365,25.26545291,0.504178552,2.262832499,20.43759923,1.545404503,20.22241633,3.794247838,15.48316069,1.266872296,2.818873315,2.761551865,0.622915842,1.406308999,22073,54266,MACRON
SEINE-SAINT-DENIS,554002,7607,543151,2756,11642,110118,6805,64543,27969,266632,5890,19352,17481,3663,6300,30.22020861,0.347134316,1.466377976,13.87000601,0.857129542,8.129568261,3.522859097,33.58385951,0.741879941,2.43749756,2.201834169,0.461376269,0.793521839,30837,54266,MÃ?LENCHON
SEINE-ET-MARNE,676131,11057,660929,3440,12843,165208,13797,155738,47893,170969,7853,26718,36828,4600,15042,24.81610759,0.382518462,1.428105989,18.37067151,1.534188143,17.31763377,5.325568802,19.01127873,0.873231825,2.970967516,4.095171483,0.511507245,1.672628691,17929,54266,MÃ?LENCHON
SOMME,307369,4837,298918,2486,7706,83107,7371,98024,16885,52343,3746,8048,11380,2206,5616,25.04218936,0.606258657,1.879255516,20.26723179,1.797559358,23.90502761,4.117730261,12.76484188,0.913533761,1.962658759,2.7752307,0.537975301,1.369569034,11413,66740,LE PEN
TARN,235360,3451,229842,1175,5313,53925,17010,56543,15982,48430,5818,8680,10014,1829,5123,21.06728196,0.394059924,1.781821596,18.08483523,5.704646218,18.96283428,5.359885706,16.24197627,1.951183521,2.911012885,3.358396662,0.613392001,1.718101268,7642,47016,LE PEN
TARN-ET-GARONNE,149081,2169,145820,679,3628,31737,9573,42183,11772,27881,3069,4835,5994,1057,3412,20.99827244,0.359818978,1.92256738,16.81822518,5.072970653,22.35382023,6.238275413,14.77483493,1.626339385,2.562186682,3.176369591,0.560130573,1.808103611,5663,54266,LE PEN
TERRITOIRE DE BELFORT,71486,1242,69654,560,1485,16768,2000,19061,5583,14601,1052,2798,3322,603,1821,23.72711365,0.59749904,1.584439418,17.89082839,2.133925142,20.33737356,5.956852034,15.5787205,1.122444625,2.985361274,3.544449661,0.64337843,1.942938842,2884,45990,LE PEN
VAL-D'OISE,540676,8027,529585,2392,10060,138166,9101,91081,37564,175666,6094,20710,26403,3352,8996,26.29112141,0.32609481,1.371452253,18.83579245,1.240714409,12.41682333,5.120997261,23.94806477,0.830778333,2.823337591,3.599448693,0.456968981,1.226400047,11931,54266,MÃ?LENCHON
VAL-DE-MARNE,600677,8501,589058,2504,14954,171409,8944,69599,43430,192427,8276,31904,32522,3730,9359,24.54621737,0.314538881,1.878440269,21.53146771,1.123496708,8.742648407,5.455440744,24.17163472,1.039586175,4.007607218,4.085237022,0.468542343,1.175626754,22208,54266,MÃ?LENCHON
VAR,609692,7803,598730,2098,10672,142335,17784,183287,79329,89272,5703,21044,28342,3578,15286,25.72919611,0.255571906,1.300030211,17.33881185,2.166392173,22.32745851,9.663614747,10.87484042,0.694721916,2.563515344,3.452535254,0.435860953,1.862093497,22565,105297,LE PEN
VAUCLUSE,309957,4350,303865,1221,6247,66885,9843,89413,30473,63049,3769,12128,11918,2023,6896,24.6958871,0.296642185,1.517709854,16.24972364,2.391358748,21.72290559,7.403421225,15.3177667,0.915679277,2.946499938,2.895480398,0.49148824,1.675384529,19590,74373,LE PEN
VENDÃ?E,430416,7312,419709,2647,8153,149587,13039,97280,25663,60524,7244,19753,22534,3621,9664,21.87932765,0.480431535,1.479772689,27.15009901,2.3665836,17.65635805,4.657844538,10.98512967,1.314788833,3.585177226,4.089929814,0.657212916,1.75401978,19837,48083,MACRON
VIENNE,237707,4053,231652,1715,6412,67831,7741,54214,11939,49162,4542,10727,9959,2315,5095,22.32076625,0.56043737,2.095349514,22.16619664,2.529647627,17.7163566,3.901493737,16.06543556,1.48426037,3.505429543,3.254458173,0.756508753,1.664972828,8803,89749,MACRON
VOSGES,208999,3431,203694,1569,3847,51432,7203,65646,13184,32655,3114,7562,9344,1986,6152,24.79696884,0.56456517,1.384246149,18.50651103,2.591818303,23.62106127,4.743930655,11.75008006,1.120494543,2.720995419,3.362203279,0.714612127,2.213642399,8179,44466,LE PEN
WALLIS ET FUTUNA,5403,27,5359,98,34,2115,78,579,118,501,118,72,1354,48,244,43.29345088,1.028547439,0.356842989,22.197733,0.818639798,6.076826196,1.23845508,5.258186398,1.23845508,0.755667506,14.21074727,0.503778338,2.560873216,11515,54266,MACRON
YONNE,180408,2715,176511,1203,4023,42617,5356,55164,12941,31601,2286,5917,9322,1487,4594,24.18462159,0.505553524,1.690641587,17.90953828,2.25082683,23.18233967,5.438377522,13.28013044,0.96067777,2.486583711,3.917514509,0.624902819,1.930600907,7678,52886,LE PEN
YVELINES,749537,9601,736506,2774,11721,246062,13687,101398,64407,168585,9046,40470,61296,3963,13097,22.02435383,0.288584076,1.219356147,25.59826059,1.423882569,10.54861144,6.700372954,17.53819266,0.941071215,4.210164942,6.376730178,0.412277827,1.362503836,26601,100226,MACRON
