Libellé du département,% Abs/Ins,% Vot/Ins,% Blancs/Ins,% Blancs/Vot,% Nuls/Ins,% Nuls/Vot,% Exp/Ins,% Exp/Vot,% Voix/Ins,% Voix/Exp,% Voix/Ins.1,% Voix/Exp.1,% Voix/Ins.2,% Voix/Exp.2,% Voix/Ins.3,% Voix/Exp.3,% Voix/Ins.4,% Voix/Exp.4,% Voix/Ins.5,% Voix/Exp.5,% Voix/Ins.6,% Voix/Exp.6,% Voix/Ins.7,% Voix/Exp.7,% Voix/Ins.8,% Voix/Exp.8,% Voix/Ins.9,% Voix/Exp.9,% Voix/Ins.10,% Voix/Exp.10,% Voix/Ins.11,% Voix/Exp.11
Haute-Vienne,21.12,78.88,1.4366666666666665,1.8133333333333335,0.8866666666666667,1.12,76.56333333333333,97.06666666666666,0.5533333333333333,0.7266666666666666,3.0366666666666666,3.9666666666666663,20.830000000000002,27.206666666666667,3.75,4.89,17.153333333333332,22.400000000000002,4.093333333333333,5.3500000000000005,16.393333333333334,21.423333333333332,2.1466666666666665,2.8000000000000003,2.986666666666667,3.9,3.6,4.7,0.6766666666666667,0.8833333333333333,1.3399999999999999,1.7533333333333332
Hautes-Alpes,22.310000000000002,77.69,1.23,1.58,0.46499999999999997,0.605,75.99000000000001,97.815,0.375,0.495,1.6949999999999998,2.23,18.085,23.795,3.425,4.505,17.299999999999997,22.78,5.42,7.13,17.415,22.905,1.28,1.685,4.435,5.83,3.965,5.225,0.7050000000000001,0.9299999999999999,1.885,2.4850000000000003
Hautes-Pyrénées,22.32,77.68,1.165,1.5,0.5,0.65,76.015,97.85,0.355,0.47,2.555,3.365,18.98,24.97,8.32,10.945,16.865000000000002,22.189999999999998,4.91,6.455,14.915,19.625,1.8699999999999999,2.46,2.745,3.615,2.5650000000000004,3.38,0.565,0.745,1.355,1.7850000000000001
Hauts-de-Seine,20.973846153846157,79.02692307692307,1.1846153846153846,1.4992307692307691,0.22846153846153847,0.29307692307692307,77.61538461538461,98.20769230769231,0.23076923076923078,0.30153846153846153,1.320769230769231,1.7161538461538461,28.737692307692306,36.81461538461538,1.1184615384615386,1.436923076923077,6.438461538461539,8.316923076923077,6.298461538461538,8.04923076923077,20.201538461538462,26.36846153846154,1.0423076923076924,1.3423076923076922,4.685384615384615,6.013076923076923,6.196923076923077,7.912307692307692,0.37153846153846154,0.4784615384615385,0.9676923076923077,1.246923076923077
Hérault,23.36888888888889,76.63111111111111,1.0355555555555556,1.3466666666666667,0.4655555555555556,0.6044444444444445,75.13222222222221,98.04777777777777,0.2977777777777778,0.39888888888888885,1.6433333333333333,2.1833333333333336,16.78222222222222,22.302222222222223,2.5255555555555556,3.342222222222222,18.984444444444442,25.218888888888888,6.722222222222222,8.94111111111111,18.81,25.16444444444444,1.4388888888888889,1.9155555555555557,3.361111111111111,4.467777777777778,2.7288888888888887,3.6255555555555556,0.5122222222222221,0.6833333333333333,1.3255555555555556,1.7566666666666668
Ille-et-Vilaine,20.9175,79.0825,1.2325,1.5575,0.49875,0.6325000000000001,77.35125,97.81125,0.49,0.63375,1.65125,2.13625,26.60625,34.39375,1.8025,2.33,13.1325,16.98375,3.54375,4.5825,17.32375,22.396250000000002,1.82125,2.3525,5.54875,7.17,3.36875,4.36,0.6975,0.90375,1.36125,1.76
Indre,25.049999999999997,74.95,1.4700000000000002,1.955,0.75,0.995,72.735,97.03999999999999,0.6499999999999999,0.895,2.225,3.06,18.975,26.11,2.98,4.095,20.685,28.41,4.48,6.17,12.64,17.41,1.475,2.025,2.25,3.0949999999999998,3.95,5.425000000000001,0.69,0.9450000000000001,1.725,2.365
Indre-et-Loire,24.19,75.81,1.218,1.6,0.454,0.5980000000000001,74.136,97.798,0.502,0.67,1.7559999999999998,2.366,22.95,30.946000000000005,1.8960000000000001,2.5479999999999996,15.663999999999998,20.990000000000002,4.544,6.136,15.718,21.345999999999997,1.412,1.908,3.732,5.054,3.6980000000000004,4.986,0.6519999999999999,0.8779999999999999,1.6199999999999999,2.1719999999999997
Isère,22.625,77.375,1.225,1.582,0.388,0.502,75.762,97.916,0.389,0.514,1.6640000000000001,2.2009999999999996,20.315,26.769,1.8809999999999998,2.478,17.177,22.693,5.322,7.021000000000001,17.688,23.401,1.442,1.902,4.575,6.023,3.185,4.192,0.544,0.718,1.579,2.086
Jura,21.896666666666665,78.10333333333334,1.3833333333333335,1.7699999999999998,0.5800000000000001,0.7399999999999999,76.14,97.48666666666668,0.5499999999999999,0.7233333333333333,1.6500000000000001,2.1633333333333336,18.956666666666667,24.896666666666665,3.3000000000000003,4.336666666666667,19.88,26.093333333333334,5.076666666666667,6.663333333333334,15.183333333333332,19.95,1.3766666666666667,1.8066666666666666,3.3699999999999997,4.426666666666667,3.8966666666666665,5.12,0.7066666666666667,0.9266666666666667,2.2,2.89
La Réunion,46.43857142857143,53.56142857142857,1.082857142857143,2.015714285714286,1.207142857142857,2.2471428571428573,51.27428571428572,95.73571428571428,0.5242857142857142,1.0242857142857142,0.4642857142857143,0.9114285714285714,9.297142857142857,18.14857142857143,0.71,1.3800000000000001,12.784285714285714,24.951428571428572,1.9342857142857142,3.7528571428571427,20.50857142857143,40.00714285714286,0.8257142857142857,1.6085714285714285,1.167142857142857,2.275714285714286,1.4385714285714286,2.7914285714285714,0.39714285714285713,0.7714285714285715,1.2242857142857144,2.3785714285714286
Landes,19.886666666666667,80.11333333333333,1.2266666666666666,1.53,0.49333333333333335,0.6133333333333334,78.39666666666666,97.86,0.34,0.43333333333333335,2.4933333333333336,3.1766666666666663,21.016666666666666,26.813333333333333,7.466666666666666,9.506666666666666,17.936666666666667,22.88,5.073333333333333,6.4799999999999995,13.456666666666669,17.176666666666666,2.8033333333333332,3.5700000000000003,2.57,3.28,3.15,4.016666666666667,0.6,0.7666666666666666,1.49,1.9033333333333333
Loir-et-Cher,24.24666666666667,75.75333333333334,1.3,1.7133333333333332,0.5599999999999999,0.7433333333333333,73.89,97.54333333333334,0.5099999999999999,0.6866666666666666,1.843333333333333,2.4899999999999998,20.62,27.916666666666668,2.2433333333333336,3.03,20.546666666666667,27.78,5.196666666666666,7.036666666666666,12.396666666666667,16.796666666666667,1.29,1.75,2.8966666666666665,3.92,3.9166666666666665,5.3,0.6266666666666666,0.84,1.8066666666666666,2.4466666666666668
Loire,23.761666666666667,76.23833333333333,1.2516666666666667,1.6316666666666666,0.48,0.6250000000000001,74.51,97.74666666666667,0.455,0.6083333333333333,1.755,2.3566666666666665,19.93166666666667,26.72,2.16,2.876666666666667,18.116666666666667,24.183333333333334,5.546666666666667,7.446666666666666,16.216666666666665,21.96166666666667,1.3583333333333334,1.8233333333333333,3.285,4.425,3.5016666666666665,4.691666666666666,0.5333333333333333,0.715,1.6483333333333334,2.1933333333333334
Loire-Atlantique,22.615000000000002,77.385,1.25,1.613,0.41899999999999993,0.538,75.72,97.848,0.438,0.5780000000000001,1.734,2.295,24.074,31.746000000000002,1.6789999999999998,2.214,12.383,16.346,4.056,5.35,18.240000000000002,24.156,1.764,2.337,5.784000000000001,7.640000000000001,3.526,4.6450000000000005,0.682,0.9029999999999999,1.357,1.7919999999999998
Loiret,24.995,75.005,1.205,1.6066666666666667,0.47,0.6266666666666666,73.33,97.765,0.43,0.5850000000000001,1.6450000000000002,2.2433333333333336,21.153333333333332,28.825,1.8683333333333334,2.5483333333333333,18.9,25.808333333333334,4.998333333333333,6.82,13.808333333333332,18.826666666666668,1.23,1.675,3.125,4.253333333333333,3.9516666666666667,5.388333333333333,0.5316666666666667,0.7266666666666667,1.6866666666666665,2.3016666666666663
Lot,19.475,80.525,1.28,1.585,0.69,0.8600000000000001,78.555,97.555,0.44499999999999995,0.565,2.5549999999999997,3.25,19.630000000000003,24.985,5.800000000000001,7.380000000000001,15.36,19.555,4.38,5.575,18.634999999999998,23.72,1.99,2.535,3.295,4.199999999999999,4.045,5.15,0.7,0.89,1.72,2.19
