Département,Votants,Blancs,Exprimés,ARTHAUD,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,Abstention_rate,ARTHAUD_percent,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent
Gard,422315,5840,413979,1768,12123,88278,15162,121480,38479,88827,6585,14974,15460,2706,8137,23.912416807497866,0.3185367488352149,2.1841747772224607,15.90485696474836,2.731704856244077,21.886789733315556,6.932678483275019,16.00376911130409,1.1864052551356843,2.697833301503681,2.7853948738644925,0.487534186848468,1.4660257495883167
Gers,119011,1762,116399,529,3128,28970,11720,26015,8396,21353,3861,4090,5126,793,2418,19.19295482013607,0.35918467116609404,2.123874577329947,19.670283409606323,7.957739784624995,17.663873762544306,5.70078355219381,14.498431537636309,2.621572807887125,2.7770610681839787,3.4804926737190893,0.5384375127310257,1.6417930716060785
Gironde,909534,12367,892020,3679,21522,256179,37725,191542,58321,194775,19598,46677,37575,8734,15693,21.493628231199743,0.317552660744311,1.8576701181133626,22.112074769452796,3.256231075449614,16.532936054440558,5.033973560007872,16.811992252371073,1.6916001753919563,4.028922409774995,3.243283834592956,0.7538746776137026,1.354540338423613
Guadeloupe,141431,2719,135085,1084,668,18137,1033,24204,3098,75862,2266,1927,3979,713,2114,55.24661179724261,0.34301300854684624,0.21137702002702335,5.739139239865453,0.3268749426465795,7.658936216667773,0.9803083952750276,24.005214810314442,0.7170364182353817,0.6097657448983144,1.259085572885518,0.22561648993902345,0.6689386531992925
Guyane,37239,825,35861,297,246,5101,516,6334,1573,18143,535,940,997,462,717,63.8431738079287,0.28836911246395386,0.23885118406105268,4.952763780062723,0.5010049226646471,6.1499325196858035,1.5272882623090889,17.615760294388938,0.5194527783441593,0.912683386249551,0.9680269532880875,0.4485741749439282,0.6961638169584341
Haut-Rhin,393877,6382,385109,2265,4649,107248,11063,106937,30284,66238,4881,18963,15994,2842,13745,25.926490113552163,0.4259616578089209,0.8743027581252422,20.169331512887926,2.080535903019908,20.110844062301357,5.695286024320248,12.45688666222839,0.9179332678875687,3.566229985443959,3.0078722980114265,0.5344737445885004,2.5849196408757695
Haute-Corse,80851,1463,78511,257,2687,13773,8601,21998,9657,10368,959,2520,5555,762,1374,37.38014467834627,0.19904890252025342,2.0811066189568908,10.667317254519263,6.661554904967703,17.0376566445157,7.4794367768018954,8.030112923462985,0.7427544650463931,1.9517635577861423,4.3023994299611195,0.5901761234258097,1.0641758446024445
Haute-Garonne,746955,10129,730979,3006,16307,196712,35479,133254,50613,188867,19658,42599,27153,4888,12443,19.70997107450009,0.3231142799098376,1.752835849131644,21.14452968384031,3.813629919135438,14.32344319863789,5.440380255847176,20.301272356530703,2.1130341032826303,4.5789571556484265,2.9186700074490415,0.5254100466398157,1.3374953376307748
Haute-Loire,143706,2837,139655,1020,3493,32417,7817,38629,9529,24332,2491,5796,9560,1205,3366,20.47524708642768,0.5644527575177359,1.9329740019700508,17.939083372992595,4.32581098580014,21.376711343286885,5.273206202339712,13.464965192079953,1.3784821754673338,3.2074197868360765,5.2903611390878,0.6668289929498744,1.8626940998085286
Haute-Marne,96116,1489,93808,696,1833,21886,3327,34331,6450,13228,1305,2580,4841,747,2584,25.715478131835006,0.5379128055707981,1.416658293981714,16.91488457287714,2.5713159542155823,26.53316742536073,4.98496781024662,10.223434758750743,1.0085865104452465,1.9939871240986482,3.7414308789773476,0.5773288301169341,1.9970785770042274
Haute-Savoie,436281,6918,427139,1880,5997,130422,13371,87744,33353,78062,6606,29948,22349,3232,14175,22.872901805839145,0.3323521872486366,1.0601681207074858,23.05640264113919,2.363766540266766,15.511654424438493,5.896246011331796,13.800040660108015,1.1678290154066453,5.294299629639451,3.9509250174573287,0.5713629091423369,2.5059001352390546
Haute-Saône,138676,2364,134739,1171,2836,30204,4820,46618,9675,21089,2345,4292,6754,1295,3640,21.967194665616297,0.6589201811889824,1.5958135216498324,16.995751624792504,2.71220774836114,26.23188813549785,5.4441099513265625,11.866752947134456,1.3195284584869031,2.4151028331879694,3.8004670399234732,0.728694820358439,2.0482232788453425
Haute-Vienne,208258,3787,202118,1457,8030,54951,9973,45357,10796,43137,5654,7877,9544,1787,3555,21.037225773672755,0.552433817897794,3.0446421123673892,20.835134335828194,3.7813469223711054,17.19748845462611,4.0933943020072645,16.355756762290422,2.1437617065162167,2.9866308741118215,3.6186879602035322,0.6775560964882348,1.3479081829970199
Hautes-Alpes,88162,1395,86235,428,1925,20507,3871,19696,6164,19718,1459,5013,4511,801,2142,22.337229891031456,0.3770293959601477,1.6957513720170192,18.064817343352214,3.4100018499105875,17.35039949259595,5.429928029669042,17.36977950827615,1.2852474035183536,4.416000845673412,3.973784124243519,0.7056087527198089,1.8869087994080287
Hautes-Pyrénées,137848,2064,134888,636,4539,33692,14761,29938,8714,26449,3315,4872,4560,1003,2409,22.314207942832347,0.3584249590009186,2.558004542303726,18.987505846948032,8.318727704107797,16.87189689083255,4.910872787317618,14.905631667634115,1.8682055646038445,2.745670440648546,2.5698393286858314,0.5652519400596248,1.3576190664044228
Hauts-de-Seine,788877,11841,774742,2306,13170,287494,11260,64812,62761,199640,10518,47103,62231,3704,9743,20.927824614826392,0.23113924786526968,1.3200797460475289,28.816629195914068,1.1286331010246906,6.496355998544605,6.290776381297568,20.010684927936875,1.0542595876179126,4.72131482749254,6.2376524431498686,0.3712661639605199,0.9765783573075986
Hérault,651599,8867,638728,2580,14165,142306,22068,165734,57751,154819,12150,28057,23230,4393,11475,23.10291314840712,0.30447327892938697,1.6716527116413824,16.79394357803308,2.6043086509355473,19.55874977135001,6.815362919167065,18.270638980840605,1.433856720539555,3.3110879019076784,2.7414396393525813,0.5184306644716268,1.354198013842913
Ille-et-Vilaine,610209,9511,596832,3783,12696,205882,13985,101797,27463,132510,13973,42613,26194,5376,10560,20.920097040573534,0.49025706421162313,1.6453353653795313,26.68123312027951,1.8123830407083132,13.192360128350671,3.5590615264191925,17.172604699625214,1.8108279033119241,5.5224224893602685,3.3946057467510586,0.696701553582259,1.3685209088222945
Indre,124694,2451,120997,1085,3702,31498,4984,34516,7438,20954,2464,3726,6589,1155,2886,24.92835641180012,0.6532209512341963,2.2287778446718844,18.963275135460567,3.000602046959663,20.78025285972306,4.478025285972306,12.615291992775438,1.4834437086092715,2.243226971703793,3.966887417218543,0.695364238410596,1.7375075255869958
Indre-et-Loire,334966,5437,327490,2243,7835,101503,8520,70553,19931,68012,6216,16245,16279,2882,7271,23.958120507965912,0.5091917857353656,1.7786525373324071,23.042574154033353,1.9341569391285396,16.016499357551158,4.524610557954334,15.439657481691343,1.4111173161529347,3.6878379666834658,3.69555643334196,0.654253556170006,1.6506167962915037
Isère,686764,10990,672296,3479,14694,180533,17025,154799,47450,153474,12736,40378,28575,4826,14327,22.438109866281174,0.392911998554391,1.659513913986267,20.38907209974702,1.922772858691724,17.482720455366824,5.3589176002891215,17.33307734007951,1.4383809179616913,4.56021864835562,3.2272090711962416,0.5450397542464763,1.618065594506686
Jura,148963,2625,145227,1053,3166,36139,6218,38179,9657,28882,2635,6388,7424,1343,4143,21.843995445888446,0.5524745929893965,1.661096449576856,18.96094901808528,3.262380834955429,20.031270166896643,5.066711438270277,15.153438931357785,1.382498150548015,3.3515742640230433,3.8951295141056788,0.7046280896341495,2.173696333100731
La Réunion,362380,7361,346766,3538,3074,62542,4844,85770,13070,139604,5549,7994,9738,2705,8338,46.356909075567806,0.5237299400922818,0.45504404630968753,9.258088726187532,0.7170570462993254,12.696528253735165,1.9347513615054053,20.665572231951078,0.8214181564646896,1.1833513683147827,1.4415155897734995,0.4004209971593054,1.2342736688777407
Landes,263683,4033,258050,1115,8176,69459,24308,58646,16817,44548,9071,8628,10393,1975,4914,19.93520315057221,0.3385589836550403,2.4825634532409055,21.09055465981654,7.380889484023963,17.807291619222863,5.106319666481446,13.526570048309178,2.754321561197193,2.619808888767433,3.155734096077878,0.5996896795683448,1.4920886508348592
Loir-et-Cher,185368,3181,180810,1246,4507,50480,5483,50212,12703,30377,3165,7097,9586,1527,4427,24.252404808800335,0.5091574792209809,1.841711684469471,20.627824679835566,2.240538088738875,20.518310872105854,5.190872759666228,12.413063199274267,1.2933253785990406,2.900072736782746,3.9171617943919124,0.6239835238928073,1.80902099559493
Loire,395202,6664,385938,2390,9017,104003,11928,97764,28706,78169,6970,16656,18539,2767,9029,23.081624152870607,0.4651669735341401,1.7549835147938668,20.242159308983755,2.3215529959477923,19.027859414473504,5.587064076264028,15.214074123092134,1.3565748140305258,3.2417661553073804,3.608255448681767,0.5385426844221614,1.7573190811881805
Loire-Atlantique,820354,13373,802422,4712,18322,256609,18298,135702,42761,187977,18369,60072,37541,7280,14779,22.36590949310727,0.4459194865490733,1.733900006908345,24.284158218139044,1.7316287701347508,12.842140527097273,4.046681486486614,17.789178124583017,1.738347845589968,5.684905644307287,3.5526874882297887,0.6889418213236957,1.3986086782064422
Loiret,343082,5512,335422,1959,7530,97004,8483,85832,22878,63486,5656,14401,18086,2433,7674,25.017593705605947,0.42814992896951154,1.645721779040542,21.20074308818708,1.8540050267730301,18.75904272757076,5.0001092776745715,13.87520489563982,1.236149054748115,3.1474155829963943,3.952792044585291,0.5317451644629002,1.6771937493170144
Lot,112114,1767,109390,618,3559,27311,8032,21422,6123,25932,2766,4603,5648,976,2400,19.503439164835797,0.4437168827812002,2.555321012650957,19.608983471905113,5.766883499188673,15.380749292781342,4.396243484254512,18.618877353207257,1.98595614526343,3.30490098938813,4.055198954608768,0.7007567598615718,1.7231723603153406
Lot-et-Garonne,188397,2793,184102,889,4970,42568,13600,50290,15646,34044,3357,5686,7703,1437,3912,21.925455027682922,0.3684149454629844,2.05964260849385,17.64081822099924,5.636044160063655,20.840930941882437,6.483937274143818,14.10834466067699,1.3911911945098299,2.356363756920731,3.192238835659583,0.5955143719126083,1.6211915260418392
Lozère,48132,741,46996,235,1343,10739,4722,10497,3148,9153,1045,1736,3039,426,913,19.527853942352706,0.3928977462716512,2.245368822309904,17.95459105196282,7.894736842105263,17.54998996856818,5.263157894736842,15.302949240954991,1.747141041931385,2.9024276065003676,5.080920216678927,0.712231659198823,1.526449541897947
Maine-et-Loire,452397,8072,441342,3071,8362,157063,11036,89433,21704,80616,8801,26635,21538,3663,9420,23.226640735970186,0.5211594822685286,1.419060758948042,26.654142547555164,1.8728479473511825,15.177094098899813,3.68324500265586,13.680818242448616,1.493560600275259,4.520053015376835,3.655074219830534,0.6216239607781245,1.5986070735817455
Manche,291153,4747,284458,2249,7368,92642,9421,69770,13990,46940,5853,11873,14746,2720,6886,24.299750658454084,0.5847436254104775,1.9156918772896392,24.087069339829906,2.4494751867461577,18.140312469937314,3.6374225520198227,12.20447566774914,1.5217894350944976,3.0869991393946643,3.8339837706993785,0.7072043846671849,1.7903711003008218
Marne,279634,3826,274106,1778,5307,78472,6921,83756,19501,42858,3542,9561,14357,1894,6159,26.53660638286693,0.46710311997562026,1.3942161179474786,20.615588318744024,1.8182343607149987,22.003762045375733,5.12315969777535,11.259339435272855,0.9305282626285978,2.5117957986990467,3.7717657443700676,0.4975777892203739,1.618047309296876
Martinique,130006,4001,122949,1447,747,20043,1162,16495,3153,65292,3935,1978,4731,977,2989,57.31826628232992,0.47505860259886934,0.24524448938587104,6.580234673040178,0.38149142793357715,5.415405424926295,1.035148427086548,21.435747257004405,1.291883622133069,0.6493890227647294,1.5532150994438498,0.3207548408701419,0.9813062634195027
Mayenne,171910,3483,166908,1273,3313,60755,4673,37376,8042,25608,3468,7934,9236,1372,3858,23.50103683662481,0.5664776924377676,1.4742659819688326,27.0356262404215,2.0794581749895427,16.63210544583975,3.5786438354945225,11.395412999172311,1.5432400922028107,3.5305844554605246,4.10996698142594,0.6105321241355987,1.7167878534366905
Mayotte,37163,922,35050,430,206,5936,359,14958,482,8398,318,295,2810,328,530,59.68737457559092,0.4664432078275679,0.2234588390987883,6.439085771312659,0.3894258409537137,16.2257151225227,0.5228502934253203,9.109744324037012,0.34495102346317813,0.3200017356026338,3.0481521255708506,0.35579853992428434,0.5749183724386302
Meurthe-et-Moselle,361138,5092,353800,2373,7961,95252,8739,97243,23518,73892,6362,14588,13387,3214,7271,26.60647038859319,0.48226120144617396,1.6179019910294947,19.357919915782116,1.7760137545040515,19.762547834905305,4.779527575057362,15.01695941730328,1.2929396391068513,2.9646971793918184,2.720619765596262,0.6531763596493902,1.4776743344775098
Meuse,100713,1509,98513,702,1957,24539,3500,34588,7347,13559,1483,3130,4403,883,2422,25.289863135640367,0.5207521976187827,1.4517265680056377,18.203330736990466,2.5963428656207115,25.657802010311194,5.450094581061533,10.058232261414636,1.1001075627758614,2.3218723341122365,3.2661993249508545,0.6550202143837395,1.7966692630095322
Morbihan,478452,7959,467374,2952,11529,152740,14399,102856,26595,84200,8267,27036,22838,4376,9586,21.432840918794298,0.48475135145786674,1.8931904915168514,25.08161294772173,2.364476527656444,16.890103321663393,4.367195864506086,13.826579875593623,1.3575336797094117,4.4396129871324135,3.750254527301748,0.7185880467410654,1.5741282029387231
Moselle,535615,7943,524319,3499,8750,136366,14163,159254,39369,100159,7534,18931,19300,4343,12651,28.193464662146038,0.4690889298230091,1.1730574838386194,18.281732210415676,1.8987443592692992,21.35018246071263,5.277954294999156,13.42768737414769,1.010036009513161,2.537960140177018,2.587429650066898,0.5822387031212714,1.6960400260619857
Nièvre,115336,1957,112441,833,4281,28686,4106,32838,7378,19930,2160,3552,5172,1010,2495,25.196840180042283,0.5402565732297355,2.7765166746656638,18.60480199239879,2.663017394575383,21.297653483455047,4.785129648606229,12.925946583995954,1.4009053999714631,2.3037111021752947,3.3543901521538917,0.6550529879496193,1.61817545043
Nord,1299873,17416,1274781,7673,45902,336138,22459,373127,73168,279785,18215,46962,42470,8265,20617,28.33845855297904,0.42300979212814777,2.530561120587285,18.53116975190556,1.2381567732837313,20.570360316355973,4.033726113701592,15.424448675951236,1.0041865454990502,2.5889985478850615,2.341356167298636,0.45564654397747184,1.1366079609417468
Nouvelle-Calédonie,72966,1777,70500,565,399,28561,1031,13273,6435,9711,963,2161,4144,560,2697,66.64762105012959,0.25825856024280874,0.18238082395908087,13.055084493973204,0.4712647355935147,6.06701923912,2.94140501798668,4.438847572598082,0.4401822894049997,0.9877818560791323,1.8942008383118574,0.25597308625835913,1.232784667212133
Oise,422040,6324,411714,2859,9054,100043,9179,132873,30333,79446,4251,13785,17450,3048,9393,25.186263230760776,0.5068061639258244,1.6049748192320443,17.73431586485878,1.6271331859654223,23.55398930371321,5.377037904988469,14.083148827999667,0.7535617358687232,2.4436246833569393,3.093307995979586,0.5403096144266922,1.6650683098129657
Orne,154603,2586,150950,1203,3261,46005,4895,41804,8910,22993,2368,5513,8838,1334,3826,24.781305646644416,0.5852932304488707,1.5865679339100311,22.382722416292854,2.381554749000185,20.338818126088608,4.3349648240228085,11.186739191779623,1.1520983954305286,2.6822290768616996,4.299934805242827,0.6490284035068941,1.86145627572517
Paris,1071357,11028,1055062,2891,17267,372820,12139,58429,86088,317372,22901,80268,69564,5732,9591,21.68586100400212,0.2113265473949672,1.262184536101314,27.252425942508363,0.8873375852049488,4.271047678222255,6.292867454907622,23.19928363882239,1.6740191151477495,5.867436633102465,5.084994791761846,0.4189981908225361,0.7010836790263336
Pas-de-Calais,807404,10601,790653,5887,26146,194610,17010,305816,40764,124741,11619,19295,25307,5488,13970,26.178383374949597,0.5382532871668604,2.390550441016601,17.793353527355645,1.5552383921705952,27.961010237509864,3.727086291501596,11.40517297341283,1.0623347959218192,1.7641578352105607,2.313839975935406,0.5017723866097723,1.2772886736404008
Polynésie française,63455,1490,60030,808,368,24106,610,11705,4283,7990,865,2150,4725,451,1969,69.13307000817215,0.39304198933727674,0.17900922286648246,11.726076973965831,0.2967272444254193,5.693758026228743,2.083414406350936,3.8866404638673773,0.4207689613573569,1.0458419270731993,2.298420049032961,0.2193835856325641,0.9577966299568043
Puy-de-Dôme,367234,6938,357587,2556,12713,100134,16136,78182,20624,74534,8216,17029,17352,3189,6922,21.54846262467876,0.5460336720764447,2.715855271168952,21.391445899727195,3.4471045902290736,16.701879714507278,4.4058679393210465,15.922564051074229,1.7551692683020617,3.637874570340288,3.7068764780400896,0.6812603209122778,1.4787343811084313
